Direction	Scheme	Target	Peer	BaseChain	TopRuleMatch	TopRuleAction	SecondBaseChain	SecondRuleMatch	SecondRuleAction	ThirdBaseChain	ThirdRuleMatch	ThirdRuleAction	FourthBaseChain	FourthRuleMatch	FourthRuleAction
api.PolicyDirectionEgress	SchemeTargetOnTop	TargetTenantSegment	PeerAny	firewall.ChainNameEndpointEgress	MakeSrcTenantSegmentMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MatchEndpoint("")	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetLabel	PeerCIDR	firewall.ChainNameEndpointIngress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeLabelMatchDst	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeSrcCIDRMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetLabel	PeerCIDR	firewall.ChainNameEndpointEgress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeLabelMatchSrc	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeDstCIDRMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemeTargetOnTop	TargetLabel	PeerCIDR	firewall.ChainNameEndpointIngress	MakeLabelMatchDst	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeSrcCIDRMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemeTargetOnTop	TargetLabel	PeerCIDR	firewall.ChainNameEndpointEgress	MakeLabelMatchSrc	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeDstCIDRMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetTenant	PeerCIDR	firewall.ChainNameEndpointIngress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeDstTenantMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeSrcCIDRMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetTenant	PeerCIDR	firewall.ChainNameEndpointEgress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeSrcTenantMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeDstCIDRMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemeTargetOnTop	TargetTenant	PeerCIDR	firewall.ChainNameEndpointIngress	MakeDstTenantMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeSrcCIDRMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemeTargetOnTop	TargetTenant	PeerCIDR	firewall.ChainNameEndpointEgress	MakeSrcTenantMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeDstCIDRMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetTenantSegment	PeerCIDR	firewall.ChainNameEndpointIngress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeDstTenantSegmentMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeSrcCIDRMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetTenantSegment	PeerCIDR	firewall.ChainNameEndpointEgress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeSrcTenantSegmentMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeDstCIDRMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
